"locusName"	"Short_description"	"Arabidopsis_homolog"	"Arabidopsis_homolog_defline"	"Clamy_homolog"	"Clamy_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Solyc01g006900"	"MD-2-related lipid recognition domain-containing protein / ML domain-containing protein"	"AT5G06480"	"Immunoglobulin E-set superfamily protein"	"Cre02.g095098"	"(1 of 1) PTHR11306//PTHR11306:SF0 - NIEMANN PICK TYPE C2 PROTEIN NPC2-RELATED // EPIDIDYMAL SECRETORY PROTEIN E1"	"LOC_Os03g57420"	"ML domain protein, putative, expressed"
"Solyc01g007100"	"Digalactosyldiacylglycerol synthase 1, chloroplastic"	"AT3G11670"	"UDP-Glycosyltransferase superfamily protein"	""	""	"LOC_Os04g34000"	"digalactosyldiacylglycerol synthase, chloroplast precursor, putative, expressed"
"Solyc01g007110"	"LRAT-like domain"	"AT5G06370"	"NC domain-containing protein-related"	""	""	"LOC_Os05g36910"	"NC domain-containing protein, putative, expressed"
"Solyc01g007160"	"protein CHROMOSOME TRANSMISSION FIDELITY 7"	"AT4G31400"	"damaged DNA binding;DNA-directed DNA polymerases"	"Cre12.g542400"	"(1 of 1) PTHR11076//PTHR11076:SF34 - DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER // SUBFAMILY NOT NAMED"	"LOC_Os04g42120"	"N-acetyltransferase ESCO2, putative, expressed"
"Solyc01g007200"	""	""	""	""	""	""	""
"Solyc01g007210"	""	""	""	""	""	""	""
"Solyc01g007770"	"hypothetical protein"	"AT5G06280"	""	""	""	""	""
"Solyc01g007780"	"HVA22-like protein"	"AT2G36020"	"HVA22-like protein J"	"Cre01.g027900"	"similar to HAV22"	""	""
"Solyc01g007800"	"ovate family protein 2"	"AT2G36026"	"Ovate family protein"	""	""	""	""
"Solyc01g007810"	"ovate family protein 3"	"AT2G36050"	"ovate family protein 15"	""	""	""	""
"Solyc01g007860"	"Ubiquitin-conjugating enzyme variant"	"AT3G52560"	"ubiquitin E2 variant 1D-4"	"Cre05.g247600"	"E2 Ubiquitin conjugating enzyme"	"LOC_Os09g12570"	"ubiquitin-conjugating enzyme, putative, expressed"
"Solyc01g007870"	"hypothetical protein"	"AT3G11600"	""	""	""	"LOC_Os02g33330"	"expressed protein"
"Solyc01g007890"	"Protein indeterminate-domain 5, chloroplastic"	""	""	""	""	""	""
"Solyc01g008010"	"DUF220 domain-containing protein"	"AT1G70480"	"Domain of unknown function (DUF220)"	"Cre01.g033150"	"(1 of 4) PTHR31385:SF1 - EXPRESSED PROTEIN-RELATED"	"LOC_Os09g15835"	"OBP32pep, putative, expressed"
"Solyc01g008070"	"Plant/MCA23-20 protein"	"AT5G47860"	"Protein of unknown function (DUF1350)"	"Cre01.g000900"	"Conserved in the Plant Lineage and Diatoms"	"LOC_Os04g33280"	"expressed protein"
"Solyc01g008100"	"Transferring glycosyl group transferase"	"AT4G14100"	"transferases, transferring glycosyl groups"	""	""	"LOC_Os03g63380"	"expressed protein"
"Solyc01g008150"	""	""	""	""	""	""	""
"Solyc01g008180"	"Remorin"	"AT2G02170"	"Remorin family protein"	""	""	"LOC_Os02g02500"	"remorin family protein, putative, expressed"
"Solyc01g008220"	"UPF0664 stress-induced protein C29B12.11c"	""	""	"Cre03.g189100"	"(1 of 1) PTHR31606//PTHR31606:SF1 - FAMILY NOT NAMED // WBP2 ORTHOLOG, ISOFORM E"	""	""
"Solyc01g008230"	"TCP transcription factor 15"	"AT5G23280"	"TCP family transcription factor"	""	""	"LOC_Os02g42380"	"TCP family transcription factor, putative, expressed"
"Solyc01g008260"	"E2F-associated phosphoprotein"	"AT5G08320"	"(1 of 1) PF10238 - E2F-associated phosphoprotein (Eapp_C)"	"Cre01.g041351"	"(1 of 1) PF10238 - E2F-associated phosphoprotein (Eapp_C)"	"LOC_Os02g42374"	"e2f-associated phosphoprotein, putative, expressed"
"Solyc01g008320"	"Shoot gravitropism 2 (SGR2) protein"	"AT1G31480"	"shoot gravitropism 2 (SGR2)"	""	""	"LOC_Os08g01920"	"SGR2, putative, expressed"
"Solyc01g008400"	""	""	""	""	""	""	""
"Solyc01g008510"	"photosystem II 5 kDa protein, chloroplastic-like"	""	""	""	""	""	""
"Solyc01g008520"	"Homolog of X-ray repair cross complementing 2 (XRCC2)"	"AT5G64520"	"homolog of X-ray repair cross complementing 2 (XRCC2)"	"Cre06.g278174"	"(1 of 8) PTHR22942 - RECA/RAD51/RADA DNA STRAND-PAIRING FAMILY MEMBER"	""	""
"Solyc01g008660"	"F-box protein"	"AT4G12560"	"F-box and associated interaction domains-containing protein"	""	""	"LOC_Os12g30950"	"F-box protein interaction domain containing protein, expressed"
"Solyc01g008780"	"Phospholipase A2 family protein"	"AT4G29070"	"Phospholipase A2 family protein"	""	""	""	""
"Solyc01g008900"	"D-cysteine desulfhydrase 2, mitochondrial"	"AT3G26115"	"Pyridoxal-5'-phosphate-dependent enzyme family protein"	"Cre01.g031850"	"1-aminocyclopropane-1-carboxylate deaminase"	""	""
"Solyc01g008940"	""	""	""	""	""	""	""
"Solyc01g009020"	"Cysteine proteinase inhibitor"	"AT2G40880"	"cystatin A"	"Cre04.g225650"	"(1 of 1) PTHR12319 - CYSTATIN-RELATED"	"LOC_Os01g58890"	"cysteine proteinase inhibitor precursor protein, putative, expressed"
"Solyc01g009050"	"Molybdopterin biosynthesis protein CN.1"	"AT5G20990"	"molybdopterin biosynthesis CNX1 protein / molybdenum cofactor biosynthesis enzyme CNX1 (CNX1)"	"Cre10.g451400"	"Molybdenum cofactor biosynthesis protein"	"LOC_Os04g56620"	"molybdopterin biosynthesis protein CNX1, putative, expressed"
"Solyc01g009060"	"BTB-POZ and MATH domain protein"	"AT3G03740"	"BTB-POZ and MATH domain 4"	"Cre03.g144284"	"MATH-domain protein"	"LOC_Os07g07270"	"MBTB13 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Solyc01g009090"	"Serrate RNA effector molecule"	"AT2G27100"	"C2H2 zinc-finger protein SERRATE (SE)"	"Cre13.g575900"	"predicted protein"	"LOC_Os06g48530"	"ZOS6-09 - C2H2 zinc finger protein, expressed"
"Solyc01g009120"	"Histone deacetylase"	"AT4G33470"	"histone deacetylase 14"	"Cre06.g290400"	"Histone deacetylase"	"LOC_Os12g08220"	"histone deacetylase, putative, expressed"
"Solyc01g009160"	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	"AT2G27080"	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	""	""	"LOC_Os11g03600"	"harpin-induced protein 1 domain containing protein, expressed"
"Solyc01g009220"	"inactive protein RESTRICTED TEV MOVEMENT 2-like"	"AT5G20970"	"HSP20-like chaperones superfamily protein"	""	""	"LOC_Os03g06170"	"hsp20/alpha crystallin family protein, putative, expressed"
"Solyc01g009250"	"hypothetical protein"	""	""	""	""	""	""
"Solyc01g009310"	"meloidogyne-induced giant cell protein DB217"	"AT1G50430"	"Ergosterol biosynthesis ERG4/ERG24 family"	""	""	"LOC_Os02g26650"	"delta14-sterol reductase, putative, expressed"
"Solyc01g009430"	"hypothetical protein"	"AT2G27830"	"(1 of 1) PTHR33270:SF3 - EXPRESSED PROTEIN"	""	""	"LOC_Os02g32580"	"expressed protein"
"Solyc01g009500"	"Alpha/beta-Hydrolases superfamily protein"	"AT3G44510"	"alpha/beta-Hydrolases superfamily protein"	""	""	""	""
"Solyc01g009580"	"Terminal flower.1"	"AT5G62040"	"PEBP (phosphatidylethanolamine-binding protein) family protein"	""	""	""	""
"Solyc01g009660"	"Low-temperature-induced 65 kDa protein"	""	""	""	""	""	""
"Solyc01g009750"	"cysteine-rich and transmembrane domain-containing protein WIH2"	""	""	""	""	""	""
"Solyc01g009760"	"GRAM domain family protein"	""	""	""	""	"LOC_Os12g29400"	"GRAM domain containing protein, expressed"
"Solyc01g009820"	"Hydroxyproline-rich glycoprotein family protein"	"AT2G33490"	"hydroxyproline-rich glycoprotein family protein"	""	""	"LOC_Os04g32370"	"hydroxyproline-rich glycoprotein family protein, putative, expressed"
"Solyc01g009830"	"Nucleotide/sugar transporter family protein"	"AT4G32272"	"Nucleotide/sugar transporter family protein"	""	""	"LOC_Os02g40030"	"transporter family protein, putative, expressed"
"Solyc01g009850"	"hypothetical protein Chr1:9527956-9528814 REVERSE LENGTH=81 201606"	""	""	""	""	""	""
"Solyc01g009970"	"Hydrolase"	"AT2G35450"	"catalytics;hydrolases"	""	""	"LOC_Os04g32150"	"amidohydrolase family protein, expressed"
"Solyc01g010020"	"Calmodulin"	"AT3G25600"	"Calcium-binding EF-hand family protein"	""	""	"LOC_Os05g50180"	"OsCML14 - Calmodulin-related calcium sensor protein, expressed"
"Solyc01g010060"	""	""	""	""	""	""	""
"Solyc01g010130"	"bHLH transcription factor 001"	"AT1G68920"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	""	""	"LOC_Os09g29830"	"helix-loop-helix DNA-binding domain containing protein, expressed"
"Solyc01g010170"	"beta-glucosidase 40"	""	""	""	""	""	""
"Solyc01g010180"	""	""	""	""	""	""	""
"Solyc01g010230"	"MDIS1-interacting receptor like kinase 2"	""	""	""	""	""	""
"Solyc01g010270"	"Protein SPIRA.1"	""	""	"Cre09.g394065"	"(1 of 2) K18635 - protein SPIRAL1 and related proteins (SPR1)"	"LOC_Os03g30430"	"nitrilase-associated protein, putative, expressed"
"Solyc01g010310"	"Carbohydrate-binding X8 domain superfamily protein"	"AT1G13830"	"Carbohydrate-binding X8 domain superfamily protein"	""	""	"LOC_Os07g40940"	"X8 domain containing protein, expressed"
"Solyc01g010370"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"AT2G03480"	"QUASIMODO2 LIKE 2"	""	""	""	""
"Solyc01g010430"	"Actin cross-linking protein, putative (DUF569)"	""	""	""	""	"LOC_Os07g09384"	"expressed protein"
"Solyc01g010440"	"Glycine-rich protein"	"AT1G27090"	"glycine-rich protein"	""	""	"LOC_Os03g48260"	"expressed protein"
"Solyc01g010470"	"5'-AMP-activated protein kinase subunit beta-2"	""	""	""	""	""	""
"Solyc01g010520"	"Helicase with zinc finger protein"	"AT2G46420"	"Plant protein 1589 of unknown function"	""	""	"LOC_Os01g12080"	"plant-specific domain TIGR01589 family protein, putative, expressed"
"Solyc01g010570"	"Mucin-related protein"	"AT2G02880"	"mucin-related"	""	""	"LOC_Os03g26220"	"expressed protein"
"Solyc01g010640"	"NAD(P)-linked oxidoreductase superfamily protein"	"AT1G14345"	"NAD(P)-linked oxidoreductase superfamily protein"	"Cre08.g358540"	"(1 of 3) PF03703 - Bacterial PH domain (bPH_2)"	"LOC_Os03g07440"	"putativ eribonuclease P, putative, expressed"
"Solyc01g010650"	"UDP-galactose UDP-glucose transporter 3-like protein"	"AT1G14360"	"UDP-galactose transporter 3"	"Cre01.g032050"	"UDP-galactose/glucose transporter"	"LOC_Os06g39260"	"solute carrier family 35 member B1, putative, expressed"
"Solyc01g010700"	"SNF1-related protein kinase regulatory subunit gamma-1-like"	"AT1G69800"	"Cystathionine beta-synthase (CBS) protein"	"Cre02.g112600"	"(1 of 3) PTHR13780//PTHR13780:SF49 - AMP-ACTIVATED PROTEIN KINASE, GAMMA REGULATORY SUBUNIT // SUBFAMILY NOT NAMED"	"LOC_Os01g40420"	"CBS domain containing membrane protein, putative, expressed"
"Solyc01g010870"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"AT1G26850"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	""	""	""	""
"Solyc01g010920"	"O-fucosyltransferase"	""	""	""	""	""	""
"Solyc01g014100"	"CLE protein 1"	""	""	""	""	""	""
"Solyc01g014140"	"receptor-like protein 12"	""	""	""	""	""	""
"Solyc01g014270"	""	""	""	""	""	""	""
"Solyc01g014560"	"G-type lectin S-receptor-like serine/threonine-protein kinase"	""	""	""	""	""	""
"Solyc01g014700"	"G-type lectin S-receptor-like serine/threonine-protein kinase"	""	""	""	""	""	""
"Solyc01g014980"	""	""	""	""	""	""	""
"Solyc01g014990"	""	""	""	""	""	""	""
"Solyc01g015020"	"PRLI-interacting factor"	"AT5G19900"	"PRLI-interacting factor, putative"	""	""	""	""
"Solyc01g015050"	"factor of DNA methylation 4-like"	""	""	""	""	""	""
"Solyc01g016400"	""	""	""	""	""	""	""
"Solyc01g016460"	""	""	""	""	""	""	""
"Solyc01g016470"	"60S acidic ribosomal protein .1"	"AT4G00810"	"60S acidic ribosomal protein family"	"Cre17.g738300"	"Acidic ribosomal protein P1"	"LOC_Os08g02340"	"60S acidic ribosomal protein, putative, expressed"
"Solyc01g016540"	"Plant/protein (DUF789)"	""	""	""	""	""	""
"Solyc01g016970"	""	""	""	""	""	""	""
"Solyc01g017600"	"transmembrane protein 45B-like"	"AT1G55230"	"Family of unknown function (DUF716)"	"Cre06.g299350"	"Flagellar/basal body protein 15"	"LOC_Os09g27260"	"plant viral response family protein, putative, expressed"
"Solyc01g017720"	""	""	""	""	""	""	""
"Solyc01g017860"	""	""	""	""	""	""	""
"Solyc01g020190"	"RING/FYVE/PHD zinc finger superfamily protein"	""	""	""	""	""	""
"Solyc01g020220"	"Replication factor C subunit 3"	""	""	""	""	""	""
"Solyc01g020320"	"hypothetical protein"	"AT2G20480"	""	""	""	""	""
"Solyc01g021600"	"Dirigent protein"	"AT1G58170"	"Disease resistance-responsive (dirigent-like protein) family protein"	""	""	"LOC_Os12g07580"	"dirigent, putative, expressed"
"Solyc01g022740"	"F-box/kelch-repeat protein"	"AT1G55270"	"Galactose oxidase/kelch repeat superfamily protein"	""	""	"LOC_Os10g26990"	"OsFBK23 - F-box domain and kelch repeat containing protein, expressed"
"Solyc01g022760"	""	""	""	""	""	""	""
"Solyc01g034010"	"Serine/threonine-protein phosphatase 7 long form-like protein"	""	""	""	""	"LOC_Os08g15910"	"expressed protein"
"Solyc01g034020"	"Serine/threonine-protein phosphatase"	""	""	"Cre03.g199983"	"(1 of 1) PTHR11668//PTHR11668:SF257 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED"	""	""
"Solyc01g034040"	"Non-functional NADPH-dependent codeinone reductase 2"	"AT1G40087"	"Plant transposase (Ptta/En/Spm family)"	""	""	"LOC_Os02g33930"	"expressed protein"
"Solyc01g044270"	"DnaJ domain"	"AT2G25560"	"DNAJ heat shock N-terminal domain-containing protein"	""	""	"LOC_Os04g31940"	"dnaJ domain containing protein, expressed"
"Solyc01g049690"	"Transcription factor Pur-alpha 1"	""	""	""	""	""	""
"Solyc01g049880"	""	""	""	""	""	""	""
"Solyc01g049960"	"chromosome-associated kinesin"	"AT4G26410"	"Uncharacterised conserved protein UCP022280"	"Cre10.g444800"	"Conserved in the Green Lineage"	"LOC_Os03g20860"	"expressed protein"
"Solyc01g056370"	""	""	""	""	""	""	""
"Solyc01g056530"	"Oligopeptide transporter"	""	""	""	""	""	""
"Solyc01g056600"	"Double-stranded RNA-binding protein.1"	""	""	""	""	""	""
"Solyc01g056610"	""	""	""	""	""	""	""
"Solyc01g056830"	"Syntaxin"	""	""	""	""	""	""
"Solyc01g056990"	"hypothetical protein"	"AT5G06590"	""	""	""	"LOC_Os12g42840"	"expressed protein"
"Solyc01g057020"	"protein TRIGALACTOSYLDIACYLGLYCEROL 4, chloroplastic-like"	""	""	""	""	""	""
"Solyc01g057260"	"Transmembrane protein, putative (DUF247)"	""	""	""	""	""	""
"Solyc01g057300"	"bHLH transcription factor 002"	"AT1G49770"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	""	""	"LOC_Os04g35010"	"helix-loop-helix DNA-binding domain containing protein, expressed"
"Solyc01g057310"	"Phragmoplast orienting kinesin 2"	""	""	""	""	""	""
"Solyc01g057330"	"Metal-nicotianamine transporter YS.1"	"AT5G45450"	"Oligopeptide transporter OPT superfamily protein"	""	""	""	""
"Solyc01g057340"	""	""	""	""	""	""	""
"Solyc01g057600"	""	""	""	""	""	""	""
"Solyc01g057680"	""	""	""	""	""	""	""
"Solyc01g057850"	"nuclear export mediator factor NEMF-like"	"AT5G49930"	"zinc knuckle (CCHC-type) family protein"	""	""	"LOC_Os12g37720"	"zinc knuckle family protein, expressed"
